ITEM_CODE,MODEL,ITEM_NAME,SPEC,UNIT
PHOE-0200020,0200020,0200020 Phoenix Contact Fixed bridge FBI 2-8,,PCS
PHOE-0200046,0200046,0200046 Phoenix Contact Fixed bridge FBI 4-8,,PCS
PHOE-0200062,0200062,0200062 Phoenix Contact Switching jumper SB 2-8/13 N,,PCS
PHOE-0201139,0201139,0201139 Phoenix Contact Insertion bridge EB 10-6,,PCS
PHOE-0201155,0201155,0201155 Phoenix Contact Insertion bridge EB 2-6,,PCS
PHOE-0202138,0202138,0202138 Phoenix Contact Insertion bridge EB 10-8,,PCS
PHOE-0203250,0203250,0203250 Phoenix Contact Fixed bridge FBI 10-6,,PCS
PHOE-0203263,0203263,0203263 Phoenix Contact Fixed bridge FBI 10-8,,PCS
PHOE-0203276,0203276,0203276 Phoenix Contact Fixed bridge FBI 10-10,,PCS
PHOE-0203438,0203438,0203438 Phoenix Contact FBI 2-6 Fixed bridge,,PCS
PHOE-0301505,0301505,0301505 Phoenix Contact ISSBI 10-6 - Bridge,,PCS
PHOE-0310020,0310020,0310020 Phoenix Contact Cover D-URTK,,PCS
PHOE-0311087,0311087,0311087 Phoenix Contact Test disconnect terminal - URTK/S,,PCS
PHOE-0311236,0311236,0311236 Phoenix Contact Switching jumper SB 2-RTK/S,,PCS
PHOE-0311265,0311265,0311265 Phoenix Contact Switching jumper SB 4-RTK/S,,PCS
PHOE-0402174,0402174,0402174 Phoenix Contact NLS-CU 3/10 SN 1000MM - Neutral busbar,,PCS
PHOE-0404428,0404428,0404428 Phoenix Contact AB/SS - Support bracket,,PCS
PHOE-0421029,0421029,0421029 Phoenix Contact AKG 4 GNYE - Connection terminal,,PCS
PHOE-0441025,0441025,0441025 Phoenix Contact Ground modular terminal USLKG 2.5,,PCS
PHOE-0441083,0441083,0441083 Phoenix Contact USLKG 3 Ground terminal,,PCS
PHOE-0441119,0441119,0441119 Phoenix Contact Ground modular terminal USLKG 2.5 N,,PCS
PHOE-0441504,0441504,0441504 Phoenix Contact Ground modular terminal USLKG 5,,PCS
PHOE-0442079,0442079,0442079 Phoenix Contact Terminal USLKG 6 N,,PCS
PHOE-0443023,0443023,0443023 Phoenix Contact Ground modular terminal USLKG 16 N,,PCS
PHOE-0706647,0706647,0706647 Phoenix Contact TPNS-UK - Partition plate,,PCS
PHOE-0800307,0800307,0800307 Phoenix Contact Marker carriers UBE/D,,PCS
PHOE-0800886,0800886,0800886 Phoenix Contact End clamp E/NS 35 N,,PCS
PHOE-0801733,0801733,0801733 Phoenix Contact DIN rail perforated NS 35/7.5 PERF 2M,,PCS
PHOE-0803122,0803122,0803122 Phoenix Contact Marker carriers UBE/D N+C,,PCS
PHOE-0809421,0809421,0809421 Phoenix Contact KLM-A+ESL44X7 Terminal strip marker carrier,,PCS
PHOE-0810588,0810588,0810588 Phoenix Contact GBS 5-25X12 Group Marker,,PCS
PHOE-0811969,0811969,0811969 Phoenix Contact Terminal strip marker carrier KLM 3,,PCS
